Time,temp
1778040239.582057,26.00
1778040239.702828,26.06
1778040239.8254848,26.06
1778040239.946354,26.06
1778040240.071459,26.06
1778040240.1959496,26.00
1778040240.320389,26.00
1778040240.443248,26.00
1778040240.562848,26.00
1778040240.6818895,25.94
1778040240.8026736,25.94
1778040240.9235737,25.94
1778040241.0448573,25.94
1778040241.1681435,26.00
1778040241.289031,26.00
1778040241.4093008,25.94
1778040241.5358114,25.94
1778040241.658506,25.94
1778040241.7813475,25.94
1778040241.901958,25.94
1778040242.1263404,25.88
1778040242.3168163,25.88
1778040242.4442139,25.88
1778040242.5668116,25.81
1778040242.6867125,25.81
1778040242.8094537,25.81
1778040242.9282992,25.81
1778040243.0529296,25.81
1778040243.1780524,25.81
1778040243.3015943,25.88
1778040243.4243996,25.88
1778040243.5448952,25.88
1778040243.6666512,25.69
1778040243.7896998,25.69
1778040243.910597,25.88
1778040244.036589,25.75
1778040244.159538,25.75
1778040244.2843897,25.88
1778040244.410098,25.88
1778040244.5363824,25.81
1778040244.6601942,25.81
1778040244.7839005,25.75
1778040244.9034913,25.75
1778040245.0283601,25.56
1778040245.1528296,25.56
1778040245.2777755,25.75
1778040245.400726,25.75
1778040245.5214272,25.75
1778040245.6426535,25.75
1778040245.7645547,25.75
1778040245.8889647,25.75
1778040246.0135286,25.69
1778040246.1343617,25.69
1778040246.257827,25.69
1778040246.382688,25.69
1778040246.5059478,25.75
1778040246.6287296,25.75
1778040246.7510495,25.75
1778040246.872101,25.75
1778040246.9939792,25.56
1778040247.1201763,25.56
1778040247.2408893,25.56
1778040247.3635778,25.56
1778040247.4865167,25.62
1778040247.6083581,25.62
1778040247.730411,25.69
1778040247.8517532,25.69
1778040247.975308,25.56
1778040248.099555,25.56
1778040248.2195244,25.56
1778040248.3437243,25.56
